コード,銘柄名,業種,市場,株式種類,新NISA成長投資枠
ACCS,アクセス　ニュースワイヤー,サービス業,AMEX,普通株式,〇
ACDC,プロフラック　ホールディング,鉱業,NASDAQ,普通株式,〇
ACEL,アクセル　エンターテインメント,サービス業,NYSE,普通株式,〇
ACET,アディセット　バイオ,医薬品,NASDAQ,普通株式,〇
ACGL,アーチ　キャピタル　グループ,保険業,NASDAQ,普通株式,〇
ACH,アセンドラヘルス,卸売業,NYSE,普通株式,〇
ACHC,アカディア　ヘルスケア,サービス業,NASDAQ,普通株式,〇
ACHR,アーチャー　アビエーション,輸送用機器,NYSE,普通株式,〇
ACHV,アチーヴ　ライフ　サイエンシズ,医薬品,NASDAQ,普通株式,〇
ACI,アルバートソンズ　カンパニー,小売業,NYSE,普通株式,〇
ACIC,アメリカン　コースタル　インシュアランス,保険業,NASDAQ,普通株式,〇
ACIU,ＡＣ　イミューン,医薬品,NASDAQ,普通株式,〇
ACIW,ＡＣＩ　ワールドワイド,サービス業,NASDAQ,普通株式,〇
ACLS,アクセリス　テクノロジーズ,機械,NASDAQ,普通株式,〇
ACLX,アーセルクス,医薬品,NASDAQ,普通株式,〇
ACM,エイコム,サービス業,NYSE,普通株式,〇
ACMR,ＡＣＭ　リサーチ,機械,NASDAQ,普通株式,〇
ACN,アクセンチュア　Ａ,サービス業,NYSE,普通株式,〇
ACNB,ＡＣＮＢ,銀行業,NASDAQ,普通株式,〇
ACNT,アセント　インダストリーズ,鉄鋼,NASDAQ,普通株式,〇
ACON,アクラリオン,サービス業,NASDAQ,普通株式,〇
ACRS,アクラリス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ACRV,アクリボン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ACT,エナクト　ホールディングス,保険業,NASDAQ,普通株式,〇
ACTG,アカシア　リサーチ,サービス業,NASDAQ,普通株式,〇
ACTU,アクチュエイト　セラピューティクス,サービス業,NASDAQ,普通株式,〇
ACU,アクメ　ユナイテッド,金属製品,AMEX,普通株式,〇
ACVA,ＡＣＶ　オークションズ,サービス業,NYSE,普通株式,〇
ACWI,ｉシェアーズ　ＭＳＣＩ　ＡＣＷＩ　ＥＴＦ,その他,NASDAQ,ETF,〇
ACXP,アキュアクス　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
AD,アレイ　デジタル　インフラストラクチャ,情報・通信業,NYSE,普通株式,〇
ADAG,アダジーン　ＡＤＲ,医薬品,NASDAQ,ADR,〇
ADBE,アドビ,サービス業,NASDAQ,普通株式,〇
ADCT,ＡＤＣ　セラピューティクス,医薬品,NYSE,普通株式,〇
ADEA,アデイア,精密機器,NASDAQ,普通株式,〇
ADGM,アダージオ　メディカル　ホールディングス,精密機器,NASDAQ,普通株式,〇
ADI,アナログ　デバイセズ,精密機器,NASDAQ,普通株式,〇
ADIL,エーダイヤル　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ADM,アーチャー　ダニエルズ　ミッドランド,食料品,NYSE,普通株式,〇
ADMA,ＡＤＭＡ　バイオロジックス,医薬品,NASDAQ,普通株式,〇
ADNT,アディエント,輸送用機器,NYSE,普通株式,〇
ADP,オートマチック　データ　プロセシング,サービス業,NASDAQ,普通株式,〇
ADPT,アダプティブ　バイオテクノロジーズ,医薬品,NASDAQ,普通株式,〇
ADSE,ＡＤＳ－テック　エナジー,輸送用機器,NASDAQ,普通株式,〇
ADSK,オートデスク,サービス業,NASDAQ,普通株式,〇
ADT,ＡＤＴ,サービス業,NYSE,普通株式,〇
ADTN,アドトラン　ホールディングス,精密機器,NASDAQ,普通株式,〇
ADTX,アディテクスト,医薬品,NASDAQ,普通株式,〇
ADUS,アダス　ホームケア,サービス業,NASDAQ,普通株式,〇
ADV,アドバンテージ　ソリューションズ,サービス業,NASDAQ,普通株式,〇
ADVB,アドバンスト　バイオメッド,サービス業,NASDAQ,普通株式,〇
ADXN,アデックス　セラピューティクス　ＡＤＲ,医薬品,NASDAQ,ADR,〇
AEBI,アエビ　シュミット　ホールディング,輸送用機器,NASDAQ,普通株式,〇
AEE,アメレン,電気・ガス業,NYSE,普通株式,〇
AEG,エイゴン　ＡＤＲ,保険業,NYSE,ADR,〇
AEHL,アンテロープ　エンタープライズ　ホールディングス,ガラス・土石製品,NASDAQ,普通株式,〇
AEHR,エア　テスト　システムズ,精密機器,NASDAQ,普通株式,〇
AEI,アルセット,不動産業,NASDAQ,普通株式,〇
AEIS,アドヴァンスド　エナジー　インダストリーズ,精密機器,NASDAQ,普通株式,〇
AEM,アグニコ　イーグル　マインズ,鉱業,NYSE,普通株式,〇
AEMD,エスロン　メディカル,精密機器,NASDAQ,普通株式,〇
AENT,アライアンス　エンターテインメント　ホールディング,卸売業,NASDAQ,普通株式,〇
AEO,アメリカン　イーグル　アウトフィッターズ,小売業,NYSE,普通株式,〇
AEP,アメリカン　エレクトリック　パワー,電気・ガス業,NASDAQ,普通株式,〇
AER,エアキャップ　ホールディングス,サービス業,NYSE,普通株式,〇
AERT,エアリーズ　テクノロジー,サービス業,NASDAQ,普通株式,〇
AES,ＡＥＳ,電気・ガス業,NYSE,普通株式,〇
AESI,アトラス　エナジー　ソリューションズ,鉱業,NYSE,普通株式,〇
AEVA,エイバ　テクノロジーズ,輸送用機器,NASDAQ,普通株式,〇
AEYE,オーディオアイ,サービス業,NASDAQ,普通株式,〇
AFBI,アフィニティ　バンクシェアーズ,銀行業,NASDAQ,普通株式,〇
AFG,アメリカン　ファイナンシャル　グループ,保険業,NYSE,普通株式,〇
AFK,ヴァンエック　アフリカ　インデックス　ＥＴＦ,その他,NYSE_ARCA,ETF,〇
AFL,アフラック,保険業,NYSE,普通株式,〇
AFRI,フォラフリック　グローバル,水産・農林業,NASDAQ,普通株式,〇
AFRM,アファーム　ホールディングス,サービス業,NASDAQ,普通株式,〇
AFYA,アフヤ,サービス業,NASDAQ,普通株式,〇
AG,ファースト　マジェスティック　シルバー,鉱業,NYSE,普通株式,〇
AGAE,アライド　ゲーミング　＆　エンターテインメント,サービス業,NASDAQ,普通株式,〇
AGBK,ＡＧＩ,銀行業,NYSE,普通株式,〇
AGCC,アジェンシア・コマーシャル・スピリッツ,卸売業,NASDAQ,普通株式,〇
AGCO,アグコ,機械,NYSE,普通株式,〇
AGEN,アジェナス,医薬品,NASDAQ,普通株式,〇
AGG,ｉシェアーズ　コア　米国総合債券市場　ＥＴＦ,その他,NYSE_ARCA,ETF,
AGGY,ウィズダムツリー　米国債券　ファンド　（利回り強化型）,その他,NYSE_ARCA,ETF,
AGI,アラモス　ゴールド,鉱業,NYSE,普通株式,〇
AGIG,アバンディア　グローバル　インパクト　グループ,鉱業,AMEX,普通株式,〇
AGIO,アジオス　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
AGL,アジロン　ヘルス,サービス業,NYSE,普通株式,〇
AGM,フェデラル　アグリカルチュアル　モーゲージ　Ｃ,銀行業,NYSE,普通株式,〇
AGMH,ＡＧＭ　グループ　ホールディングス,サービス業,NASDAQ,普通株式,〇
AGO,アシュアド　ギャランティ,保険業,NYSE,普通株式,〇
AGPU,Ａｘｅ　Ｃｏｍｐｕｔｅ,精密機器,NASDAQ,普通株式,〇
AGRO,アデコアグロ,水産・農林業,NYSE,普通株式,〇
AGX,アルガン,建設業,NYSE,普通株式,〇
AGYS,アジリシス,サービス業,NASDAQ,普通株式,〇
AHCO,アダプトヘルス,サービス業,NASDAQ,普通株式,〇
AHG,アクソー　ヘルス　グループ　ＡＤＲ,サービス業,NASDAQ,ADR,〇
AHMA,アンビションズ・エンタープライズ・マネジメント,サービス業,NASDAQ,普通株式,〇
AI,Ｃ３　ａｉ,サービス業,NYSE,普通株式,〇
AIB,ブロックチェーン　デジタル　インフラストラクチャー,サービス業,AMEX,普通株式,〇
AIFF,ファイアフライ　ニューロサイエンス,サービス業,NASDAQ,普通株式,〇
AIFU,ＡＩＦＵ,保険業,NASDAQ,ADR,〇
AIG,アメリカン　インターナショナル　グループ,保険業,NYSE,普通株式,〇
AII,アメリカン　インテグリティ　インシュアランス　グループ,保険業,NYSE,普通株式,〇
AIIO,ロボ　エーアイ,輸送用機器,NASDAQ,普通株式,〇
AIMD,アイノス,医薬品,NASDAQ,普通株式,〇
AIN,アルバニー　インターナショナル,繊維製品,NYSE,普通株式,〇
AIOS,ＡＩＯＳテック,金属製品,NASDAQ,普通株式,〇
AIOT,パワーフリート,精密機器,NASDAQ,普通株式,〇
AIP,アルテリス,精密機器,NASDAQ,普通株式,〇
AIPI,ＲＥＸ　ＡＩ　エクイティ・プレミアム・インカムＥＴＦ,その他,NASDAQ,ETF,
AIQ,グローバルＸ　ＡＩ　＆　ビッグデータ　ＥＴＦ,その他,NASDAQ,ETF,〇
AIR,ＡＡＲ,輸送用機器,NYSE,普通株式,〇
AIRG,エアゲイン,精密機器,NASDAQ,普通株式,〇
AIRI,エアー　インダストリーズ　グループ,輸送用機器,AMEX,普通株式,〇
AIRJ,エアジュール　テクノロジーズ,機械,NASDAQ,普通株式,〇
AIRO,エアロ・グループ・ホールディングス,情報・通信業,NASDAQ,普通株式,〇
AIRR,ファーストトラスト　ＲＢＡ　米国産業ルネサンスＥＴＦ,その他,NASDAQ,ETF,〇
AIRS,エアスカルプト　テクノロジーズ,サービス業,NASDAQ,普通株式,〇
AIRT,エアー　Ｔ,空運業,NASDAQ,普通株式,〇
AISP,エアシップ　ＡＩ　ホールディングス,サービス業,NASDAQ,普通株式,〇
AIT,アプライド　インダストリアル　テクノロジーズ,卸売業,NYSE,普通株式,〇
AIXC,ＡＩｘＣｒｙｐｔｏ　ホールディングス,医薬品,NASDAQ,普通株式,〇
AIZ,アシュラント,保険業,NYSE,普通株式,〇
AJG,アーサー　Ｊ　ギャラガー,保険業,NYSE,普通株式,〇
AKA,ＡＫＡブランズ　ホールディング,小売業,NYSE,普通株式,〇
AKAM,アカマイ　テクノロジーズ,サービス業,NASDAQ,普通株式,〇
AKAN,アカンダ,医薬品,NASDAQ,普通株式,〇
AKBA,アケビア　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ALAB,アステラ　ラブス,精密機器,NASDAQ,普通株式,〇
ALAR,アララム　テクノロジーズ　ＡＤＲ,サービス業,NASDAQ,ADR,〇
ALB,アルベマール,化学,NYSE,普通株式,〇
ALBT,アバロン　グロボケア,医薬品,NASDAQ,普通株式,〇
ALC,アルコン,精密機器,NYSE,普通株式,〇
ALCO,アリコ,水産・農林業,NASDAQ,普通株式,〇
ALDX,アルデイラ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ALEC,アレクター,医薬品,NASDAQ,普通株式,〇
ALG,アラモ　グループ,機械,NYSE,普通株式,〇
ALGM,アレグロ　マイクロシステムズ,精密機器,NASDAQ,普通株式,〇
ALGN,アライン　テクノロジー,精密機器,NASDAQ,普通株式,〇
ALGS,アリゴス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ALGT,アレジアント　トラベル,空運業,NASDAQ,普通株式,〇
ALH,アライアンス・ランドリー,電気機器,NYSE,普通株式,〇
ALHC,アライメント　ヘルスケア,保険業,NASDAQ,普通株式,〇
ALIT,アライト,サービス業,NYSE,普通株式,〇
ALK,アラスカ　エア　グループ,空運業,NYSE,普通株式,〇
ALKS,アルカームス,医薬品,NASDAQ,普通株式,〇
ALKT,アルカミ　テクノロジー,サービス業,NASDAQ,普通株式,〇
ALL,オールステート,保険業,NYSE,普通株式,〇
ALLE,アレジオン,サービス業,NYSE,普通株式,〇
ALLO,アロジーン　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ALLR,アラリティ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ALLT,アロット,精密機器,NASDAQ,普通株式,〇
ALLY,アライ　ファイナンシャル,銀行業,NYSE,普通株式,〇
ALMS,アルミス,医薬品,NASDAQ,普通株式,〇
ALNT,アリエント,精密機器,NASDAQ,普通株式,〇
ALNY,アルナイラム　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ALOT,アストロノヴァ,精密機器,NASDAQ,普通株式,〇
ALOY,リアロイズ,サービス業,NASDAQ,普通株式,〇
ALP,アルファ　コンピュート,医薬品,NASDAQ,普通株式,〇
ALRM,アラーム　ドットコム　ホールディングス,サービス業,NASDAQ,普通株式,〇
ALRS,アレラス　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
ALSN,アリソン　トランスミッション　ホールディングス,輸送用機器,NYSE,普通株式,〇
ALT,アルティミュン,医薬品,NASDAQ,普通株式,〇
ALTG,アルタ　イクイップメント　グループ,卸売業,NYSE,普通株式,〇
ALTI,アルティ　グローバル,証券、商品先物取引業,NASDAQ,普通株式,〇
ALTO,アルト　イングリーディエンツ,化学,NASDAQ,普通株式,〇
ALTS,オルトファイブ　シグマ　コーポレーション,小売業,NASDAQ,普通株式,〇
ALTY,グローバルＸスーパーディビィデンド－オルタナティブズＥＴＦ,その他,NASDAQ,ETF,
ALV,オートリブ,輸送用機器,NYSE,普通株式,〇
ALVO,アルボテック,医薬品,NASDAQ,普通株式,〇
ALXO,ＡＬＸ　オンコロジー　ホールディングス,医薬品,NASDAQ,普通株式,〇
ALZN,アルザメンド　ニューロ,医薬品,NASDAQ,普通株式,〇
AM,アンテロ　ミッドストリーム,電気・ガス業,NYSE,普通株式,〇
AMAL,アマルガメイテッド　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
AMAT,アプライド　マテリアルズ,精密機器,NASDAQ,普通株式,〇
AMBA,アンバレラ,精密機器,NASDAQ,普通株式,〇
AMBP,アルダグ　メタル　パッケージング,金属製品,NYSE,普通株式,〇
AMBQ,アンビックマイクロ,精密機器,NYSE,普通株式,〇
AMBR,アンバー　インターナショナル　ホールディング,サービス業,NASDAQ,ADR,〇
AMC,ＡＭＣエンターテイメント　ホールディングス　Ａ,サービス業,NYSE,普通株式,〇
AMCI,ＡＭＣ　ロボティクス,小売業,NASDAQ,普通株式,〇
AMCR,アムコア,その他製品,NYSE,普通株式,〇
AMCX,ＡＭＣ　グローバル　メディア,情報・通信業,NASDAQ,普通株式,〇
AMD,アドバンスト　マイクロ　デバイシズ,精密機器,NASDAQ,普通株式,〇
AMDD,Ｄｉｒｅｘｉｏｎ　デイリー　ＡＭＤ　株　ベア１倍　ＥＴＦ,その他,NASDAQ,ETF,
AMDL,グラナイトシェアーズ　２倍　ロング　ＡＭＤ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
AME,アメテック,精密機器,NYSE,普通株式,〇
AMG,アフィリエーテッド　マネジャーズ　グループ,証券、商品先物取引業,NYSE,普通株式,〇
AMGN,アムジェン,医薬品,NASDAQ,普通株式,〇
AMIX,オートノミックス　メディカル,精密機器,NASDAQ,普通株式,〇
AMKR,アムコー　テクノロジー,精密機器,NASDAQ,普通株式,〇
AMLX,アミリクス　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
AMN,ＡＭＮ　ヘルスケア　サービシズ,サービス業,NYSE,普通株式,〇
AMOD,アルファ　モーダス　ホールディングス,サービス業,NASDAQ,普通株式,〇
AMP,アメリプライズ　ファイナンシャル,証券、商品先物取引業,NYSE,普通株式,〇
AMPG,アンプリテック　グループ,精密機器,NASDAQ,普通株式,〇
AMPH,アンファスター　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
AMPL,アンプリチュード,サービス業,NASDAQ,普通株式,〇
AMPX,アンプリウス　テクノロジーズ,精密機器,NYSE,普通株式,〇
AMPY,アンプリファイ　エネルギー,鉱業,NYSE,普通株式,〇
AMR,アルファ　メタラジカル　リソーシズ,鉱業,NYSE,普通株式,〇
AMRC,アメレスコ,建設業,NYSE,普通株式,〇
AMRN,アマリン　ＡＤＲ,医薬品,NASDAQ,ADR,〇
AMRX,アムニール　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
AMRZ,アムライズ,建設業,NYSE,普通株式,〇
AMS,アメリカン　シェアード　ホスピタル　サービシズ,サービス業,AMEX,普通株式,〇
AMSC,アメリカン　スーパーコンダクター,電気機器,NASDAQ,普通株式,〇
AMSF,アメリセーフ,保険業,NASDAQ,普通株式,〇
AMST,アメサイト,サービス業,NASDAQ,普通株式,〇
AMTB,アメラント　バンコープ　Ａ,銀行業,NYSE,普通株式,〇
AMTD,ＡＭＴＤアイディアグループＡＤＲ,その他金融業,NYSE,ADR,〇
AMTM,アメンタム　ホールディングス,建設業,NYSE,普通株式,〇
AMTX,アメティス,化学,NASDAQ,普通株式,〇
AMWD,アメリカン　ウッドマーク,その他製品,NASDAQ,普通株式,〇
AMWL,アメリカン　ウェル,サービス業,NYSE,普通株式,〇
AMX,アメリカ　モビル　Ｌ　ＡＤＲ,情報・通信業,NYSE,ADR,〇
AMYY,グラナイトシェアーズ　イールドブースト　ＡＭＤ　ＥＴＦ,その他,NASDAQ,ETF,
AMZD,Ｄｉｒｅｘｉｏｎ　デイリー　ＡＭＺＮ　ベア　１倍　ＥＴＦ,その他,NASDAQ,ETF,
AMZN,アマゾン　ドットコム,小売業,NASDAQ,普通株式,〇
AMZU,Ｄｉｒｅｘｉｏｎ　デイリー　ＡＭＺＮ　ブル　２倍　ＥＴＦ,その他,NASDAQ,ETF,
AMZZ,グラナイトシェアーズ　２倍ロング　ＡＭＺＮ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
AN,オートネーション,小売業,NYSE,普通株式,〇
ANAB,アナプティスバイオ,医薬品,NASDAQ,普通株式,〇
ANDE,アンダーソンズ,卸売業,NASDAQ,普通株式,〇
ANDG,アンダーセングループ　Ａ,証券、商品先物取引業,NYSE,普通株式,〇
ANET,アリスタ　ネットワークス,精密機器,NYSE,普通株式,〇
ANF,アバクロンビー　＆　フィッチ,小売業,NYSE,普通株式,〇
ANGI,アンジ,サービス業,NASDAQ,普通株式,〇
ANGO,アンジオダイナミクス,精密機器,NASDAQ,普通株式,〇
ANIK,アニカ　セラピューティクス,精密機器,NASDAQ,普通株式,〇
ANIP,ＡＮＩ　ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
ANIX,アニーシャ　バイオサイエンシズ,医薬品,NASDAQ,普通株式,〇
ANL,アドライ　ノルテ　ＡＤＲ,医薬品,NASDAQ,ADR,〇
ANNA,アレアンナ,鉱業,NASDAQ,普通株式,〇
ANNX,アネクソン,医薬品,NASDAQ,普通株式,〇
ANPA,リッチ・スパークル・ホールディングス,サービス業,NASDAQ,普通株式,〇
ANRO,アルト　ニューロサイエンス,医薬品,NYSE,普通株式,〇
ANTX,ＡＮ２　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ANV,グラナイトシェアーズ　オートコーラブル　ＮＶＤＡ　ＥＴＦ,その他,NASDAQ,ETF,
ANVS,アノビス　バイオ,医薬品,NYSE,普通株式,〇
ANY,スフィア　３Ｄ,その他金融業,NASDAQ,普通株式,〇
AON,エーオン,保険業,NYSE,普通株式,〇
AORT,アーティビオン,精密機器,NYSE,普通株式,〇
AOS,Ａ．Ｏ．　スミス,電気機器,NYSE,普通株式,〇
AOSL,アルファ　アンド　オメガ　セミコンダクター,精密機器,NASDAQ,普通株式,〇
AOUT,アメリカン　アウトドア　ブランズ,その他製品,NASDAQ,普通株式,〇
AP,アンプコ－ピッツバーグ,機械,NYSE,普通株式,〇
APA,エイピーエイ,鉱業,NASDAQ,普通株式,〇
APAM,アルチザン　パートナーズ　アセット　マネジメント,証券、商品先物取引業,NYSE,普通株式,〇
APD,エアープロダクツ　アンド　ケミカルズ,化学,NYSE,普通株式,〇
APEI,アメリカン　パブリック　エデュケーション,サービス業,NASDAQ,普通株式,〇
APG,Ａｐｉ　グループ,建設業,NYSE,普通株式,〇
APGE,アポジー　セラピューティクス,医薬品,NASDAQ,普通株式,〇
APH,アンフェノール,精密機器,NYSE,普通株式,〇
API,アゴラ　ＡＤＲ,サービス業,NASDAQ,ADR,〇
APLD,アプライド　デジタル,サービス業,NASDAQ,普通株式,〇
APLS,アペリス ファーマシューティカルズ,医薬品,NASDAQ,普通株式,〇
APM,アプトラム　グループ,医薬品,NASDAQ,普通株式,〇
APO,アポロ　グローバル　マネジメント,証券、商品先物取引業,NYSE,普通株式,〇
APOG,アポジー　エンタープライジズ,ガラス・土石製品,NASDAQ,普通株式,〇
APP,アップロビン,サービス業,NASDAQ,普通株式,〇
APPF,アプフォリオ,サービス業,NASDAQ,普通株式,〇
APPN,アピアン,サービス業,NASDAQ,普通株式,〇
APPS,デジタル　タービン,サービス業,NASDAQ,普通株式,〇
APRE,アプレア　セラピューティクス,医薬品,NASDAQ,普通株式,〇
APT,アルファ　プロ　テック,精密機器,AMEX,普通株式,〇
APTV,アプティブ,輸送用機器,NYSE,普通株式,〇
APUS,アピメッズ　ファーマシューティカルズ　ＵＳ,医薬品,AMEX,普通株式,〇
APVO,アプテヴォ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
APWC,アジア　パシフィック　ワイヤ　アンド　ケーブル,非鉄金属,NASDAQ,普通株式,〇
APYX,アピックス　メディカル,精密機器,NASDAQ,普通株式,〇
AQB,アクアバウンティ　テクノロジーズ,水産・農林業,NASDAQ,普通株式,〇
AQMS,アクア　メタルズ,非鉄金属,NASDAQ,普通株式,〇
AQN,アルゴンキン　パワー　＆　ユーティリティーズ,電気・ガス業,NYSE,普通株式,〇
AQST,アクエスティブ　セラピューティクス,医薬品,NASDAQ,普通株式,〇
AR,アンテロ　リソーシズ,鉱業,NYSE,普通株式,〇
ARAI,アライブ　ＡＩ,サービス業,NASDAQ,普通株式,〇
ARAY,アキュレイ,精密機器,NASDAQ,普通株式,〇
ARBE,アルべ　ロボティクス,サービス業,NASDAQ,普通株式,〇
ARBK,アルゴ　ブロックチェーン　ＡＤＲ,サービス業,NASDAQ,ADR,〇
ARCB,アークベスト,陸運業,NASDAQ,普通株式,〇
ARCO,アルコス　ドラドス　ホールディングス,小売業,NYSE,普通株式,〇
ARCT,アークトゥルス　セラピューティクス,医薬品,NASDAQ,普通株式,〇
ARDT,アーデント・ヘルス,サービス業,NYSE,普通株式,〇
ARDX,アーデリックス,医薬品,NASDAQ,普通株式,〇
AREN,アリーナ　グループ　ホールディングス,サービス業,AMEX,普通株式,〇
ARES,アレス　マネジメント,証券、商品先物取引業,NYSE,普通株式,〇
ARGX,アルジェンＸ　ＡＤＲ,医薬品,NASDAQ,ADR,〇
ARHS,アールハウス,小売業,NASDAQ,普通株式,〇
ARIS,アリス　マイニング,鉱業,NYSE,普通株式,〇
ARKO,アルコ,小売業,NASDAQ,普通株式,〇
ARKR,アーク　レストランツ,小売業,NASDAQ,普通株式,〇
ARL,アメリカン　リアルティ　インベスターズ,不動産業,NYSE,普通株式,〇
ARLO,アーロ　テクノロジーズ,精密機器,NYSE,普通株式,〇
ARM,アーム　ホールディングス　ＡＤＲ,精密機器,NASDAQ,ADR,〇
ARMG,レバレッジシェアーズ　２倍　ロング　ＡＲＭ　デイリー　ＥＴＦ,その他,NASDAQ,ETF,
ARMK,アラマーク,小売業,NYSE,普通株式,〇
ARMP,アルマータ　ファーマシューティカルズ,医薬品,AMEX,普通株式,〇
AROC,アーチロック,電気・ガス業,NYSE,普通株式,〇
AROW,アロー　ファイナンシャル,銀行業,NASDAQ,普通株式,〇
ARQ,アーク,化学,NASDAQ,普通株式,〇
ARQQ,アーキット　クアンタム,サービス業,NASDAQ,普通株式,〇
ARQT,アーキュティス　バイオセラピューティクス,医薬品,NASDAQ,普通株式,〇
ARRY,アレイ　テクノロジーズ,その他製品,NASDAQ,普通株式,〇
ARTL,アルテロ　バイオサイエンシズ,医薬品,NASDAQ,普通株式,〇
ARTNA,アルテシアン　リソーシズ,電気・ガス業,NASDAQ,普通株式,〇
ARTV,アーティバ　バイオセラピューティクス,医薬品,NASDAQ,普通株式,〇
ARTW,アーツ　ウェイ　マニュファクチャリング,機械,NASDAQ,普通株式,〇
ARVN,アルヴィナス,医薬品,NASDAQ,普通株式,〇
ARW,アロー　エレクトロニクス,卸売業,NYSE,普通株式,〇
ARWR,アローヘッド　ファーマシューティカル,医薬品,NASDAQ,普通株式,〇
ARX,アクセララント・ホールディングス,情報・通信業,NYSE,普通株式,〇
AS,アメア　スポーツ,繊維製品,NYSE,普通株式,〇
ASAN,アサナ,サービス業,NYSE,普通株式,〇
ASB,アソシエーテッド　バンコープ,銀行業,NYSE,普通株式,〇
ASBP,アスパイア　バイオファーマ　ホールディングス,医薬品,NASDAQ,普通株式,〇
ASC,アードモア　シッピング,海運業,NYSE,普通株式,〇
ASH,アシュランド,卸売業,NYSE,普通株式,〇
ASIC,アテグリティ・スペシャリティ・ホールディングス,保険業,NYSE,普通株式,〇
ASIX,アドバンシックス,化学,NYSE,普通株式,〇
ASLE,Ａｅｒセール,卸売業,NASDAQ,普通株式,〇
ASM,アヴィーノ・シルバー＆ゴールド・マインズ,鉱業,AMEX,普通株式,〇
ASMB,アセンブリー　バイオサイエンシズ,医薬品,NASDAQ,普通株式,〇
