Symbol,Security,GICS Sector,GICS Sub-Industry,Symbol_YF,Exchange,Daily_Change,Security_JA,Monex,Rakuten,SBI,MUFG,Matsui,DMM,PayPay,IwaiCosmo
CTAS,Cintas,Industrials,Diversified Support Services,CTAS,NASDAQ,0.025340615456894512,シンタス,true,true,true,true,true,true,false,false
CTRA,Coterra,Energy,Oil & Gas Exploration & Production,CTRA,NYSE,-0.07648238327126883,コテラ・エナジー・インク,true,true,true,true,true,true,false,false
CTSH,Cognizant,Information Technology,IT Consulting & Other Services,CTSH,NASDAQ,0.004147015774922678,コグニザント・テクノロジー・ソリューションズ クラスA,true,true,true,true,true,true,false,false
CTVA,Corteva,Materials,Fertilizers & Agricultural Chemicals,CTVA,NYSE,-0.01711004336106872,コルテバ,true,true,true,true,true,true,false,false
CVNA,Carvana,Consumer Discretionary,Automotive Retail,CVNA,NYSE,0.05573770491803286,カーヴァナ,true,true,true,true,true,true,false,false
CVS,CVS Health,Health Care,Health Care Services,CVS,NYSE,0.0,シーブイエス・ヘルス,true,true,true,true,true,true,true,false
CVX,Chevron Corporation,Energy,Integrated Oil & Gas,CVX,NYSE,-0.04867761623579617,シェブロン,true,true,true,true,true,true,true,true
D,Dominion Energy,Utilities,Multi-Utilities,D,NYSE,-0.004147391928537215,ドミニオン・エナジー,true,true,true,true,true,true,false,true
DAL,Delta Air Lines,Industrials,Passenger Airlines,DAL,NYSE,0.0939500152392562,デルタ航空,true,true,true,true,true,true,true,true
DASH,DoorDash,Consumer Discretionary,Specialized Consumer Services,DASH,NASDAQ,0.059268762026940223,ドアダッシュ,true,true,true,true,true,true,true,false
DD,DuPont,Materials,Specialty Chemicals,DD,NYSE,0.04271908631671426,デュポン・ド・ヌムール,true,true,true,true,true,true,false,false
DDOG,Datadog,Information Technology,Application Software,DDOG,NASDAQ,0.03020422172644582,データドッグ　クラスA,true,true,true,true,true,true,true,true
DE,Deere & Company,Industrials,Agricultural & Farm Machinery,DE,NYSE,0.03888888888888885,ディア,true,true,true,true,true,true,true,false
DECK,Deckers Brands,Consumer Discretionary,Footwear,DECK,NYSE,0.06303610612407733,デッカーズ・アウトドア,true,true,true,true,true,true,false,false
DELL,Dell Technologies,Information Technology,"Technology Hardware, Storage & Peripherals",DELL,NYSE,0.05132534188755701,デル・テクノロジーズ,true,true,true,true,true,true,true,true
DG,Dollar General,Consumer Staples,Consumer Staples Merchandise Retail,DG,NYSE,0.021120369606468133,ダラー・ゼネラル,true,true,true,true,true,true,true,false
DGX,Quest Diagnostics,Health Care,Health Care Services,DGX,NYSE,-0.009603170570601163,クエスト・ダイアグノスティクス,true,true,true,true,true,true,false,false
DHI,D. R. Horton,Consumer Discretionary,Homebuilding,DHI,NYSE,0.06383599620631794,ディーアール・ホートン,true,true,true,true,true,true,true,false
DHR,Danaher Corporation,Health Care,Life Sciences Tools & Services,DHR,NYSE,0.030155489241401077,ダナハー,true,true,true,true,true,true,true,false
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,DIS,NYSE,0.029861140112758432,ウォルト・ディズニー,true,true,true,true,true,true,true,true
DLR,Digital Realty,Real Estate,Data Center REITs,DLR,NYSE,0.007811643460146977,デジタル・リアルティ,false,false,false,false,false,false,false,false
DLTR,Dollar Tree,Consumer Staples,Consumer Staples Merchandise Retail,DLTR,NASDAQ,0.02800225521518515,ダラー・ツリー,true,true,true,true,true,true,true,false
DOC,Healthpeak Properties,Real Estate,Health Care REITs,DOC,NYSE,0.00770142180094802,ヘルスピーク・プロパティーズ,false,false,false,false,false,false,false,false
DOV,Dover Corporation,Industrials,Industrial Machinery & Supplies & Components,DOV,NYSE,0.04650910667823072,ドーバー,true,true,true,true,true,true,false,false
DOW,Dow Inc.,Materials,Commodity Chemicals,DOW,NYSE,-0.10140062786766478,ダウ,true,true,true,true,true,true,true,false
DPZ,Domino's,Consumer Discretionary,Restaurants,DPZ,NASDAQ,0.010498438136629117,ドミノ･ピザ,true,true,true,true,true,true,true,false
DRI,Darden Restaurants,Consumer Discretionary,Restaurants,DRI,NYSE,0.03341551697004671,ダーデン・レストランツ,true,true,true,true,true,true,false,false
DTE,DTE Energy,Utilities,Multi-Utilities,DTE,NYSE,-0.0010791124300262803,ディーティーイー・エナジー・カンパニー,true,true,true,true,true,true,false,false
DUK,Duke Energy,Utilities,Electric Utilities,DUK,NYSE,-0.0109998482779547,デューク・エナジー,true,true,true,true,true,true,true,false
DVA,DaVita,Health Care,Health Care Services,DVA,NYSE,0.011022044088176391,ダビータ,true,true,true,true,true,true,false,false
DVN,Devon Energy,Energy,Oil & Gas Exploration & Production,DVN,NYSE,-0.07627627627627631,デボン・エナジー・コーポレーション,true,true,true,true,true,true,true,false
DXCM,Dexcom,Health Care,Health Care Equipment,DXCM,NASDAQ,0.031532245286008474,デクスコム,true,true,true,true,true,true,true,false
EA,Electronic Arts,Communication Services,Interactive Home Entertainment,EA,NASDAQ,0.00009806325079681409,エレクトロニック・アーツ,true,true,true,true,true,true,false,false
EBAY,eBay Inc.,Consumer Discretionary,Broadline Retail,EBAY,NASDAQ,0.01989376106655553,イーベイ,true,true,true,true,true,true,true,false
ECL,Ecolab,Materials,Specialty Chemicals,ECL,NYSE,0.031857698467170056,エコラボ,true,true,true,true,true,true,false,false
ED,Consolidated Edison,Utilities,Multi-Utilities,ED,NYSE,-0.019002271535907715,コンソリデーテッド・エジソン,true,true,true,true,true,true,false,false
EFX,Equifax,Industrials,Research & Consulting Services,EFX,NYSE,0.029531456225252994,エキファックス,true,true,true,true,true,true,false,false
EG,Everest Group,Financials,Reinsurance,EG,NYSE,0.004505467652269604,エベレスト・リ・グループ,true,true,true,true,true,true,false,false
EIX,Edison International,Utilities,Electric Utilities,EIX,NYSE,0.010329155763668916,エジソン・インターナショナル,true,true,true,true,true,true,false,false
EL,Estée Lauder Companies (The),Consumer Staples,Personal Care Products,EL,NYSE,0.04749168714760729,エスティローダー クラスA,true,true,true,true,true,true,true,false
ELV,Elevance Health,Health Care,Managed Health Care,ELV,NYSE,0.008145463874547095,エレバンス・ヘルス,true,true,false,true,true,true,true,false
EME,Emcor,Industrials,Construction & Engineering,EME,NYSE,0.0527437968071214,エムコア・グループ,true,true,true,true,true,true,false,false
EMR,Emerson Electric,Industrials,Electrical Components & Equipment,EMR,NYSE,0.06587938205585268,エマーソン・エレクトリック,true,true,true,true,true,true,false,false
EOG,EOG Resources,Energy,Oil & Gas Exploration & Production,EOG,NYSE,-0.060805657630173905,イーオージー・リソーシズ,true,true,true,true,true,true,true,false
EPAM,EPAM Systems,Information Technology,IT Consulting & Other Services,EPAM,NYSE,0.022016092981671974,イーピーエーエム・システムズ,true,true,true,true,true,true,false,false
EQIX,Equinix,Real Estate,Data Center REITs,EQIX,NASDAQ,0.007743549523970325,エクイニクス,false,false,false,false,false,false,false,false
EQR,Equity Residential,Real Estate,Multi-Family Residential REITs,EQR,NYSE,0.011127719647899048,エクイティ・レジデンシャル,false,false,false,false,false,false,false,false
EQT,EQT Corporation,Energy,Oil & Gas Exploration & Production,EQT,NYSE,-0.023397594331850298,イーキューティー,true,true,true,true,true,true,true,false
ERIE,Erie Indemnity,Financials,Insurance Brokers,ERIE,NASDAQ,0.002011748611893458,イリー・インデムニティー・カンパニー クラスA,true,true,true,true,true,false,false,false
ES,Eversource Energy,Utilities,Electric Utilities,ES,NYSE,0.0018707727730610112,エバーソース・エナジー,true,true,true,true,true,true,false,false
ESS,Essex Property Trust,Real Estate,Multi-Family Residential REITs,ESS,NYSE,0.019130084575110753,エセックス・プロパティ・トラスト,false,false,false,false,false,false,false,false
ETN,Eaton Corporation,Industrials,Electrical Components & Equipment,ETN,NYSE,0.05723193710180278,イートン,true,true,true,true,true,true,true,false
ETR,Entergy,Utilities,Electric Utilities,ETR,NYSE,0.002283305523842899,エンタジー,true,true,true,true,true,true,false,false
EVRG,Evergy,Utilities,Electric Utilities,EVRG,NASDAQ,-0.0028971511347176374,エヴァージー,true,true,true,true,true,true,false,false
EW,Edwards Lifesciences,Health Care,Health Care Equipment,EW,NYSE,0.015215239980207691,エドワーズ・ライフサイエンシズ,true,true,true,true,true,true,true,false
EXC,Exelon,Utilities,Electric Utilities,EXC,NASDAQ,-0.00560652395514778,エクセロン,true,true,true,true,true,true,false,false
EXE,Expand Energy,Energy,Oil & Gas Exploration & Production,EXE,NASDAQ,-0.02815657804375556,エクスパンド・エナジー,true,true,false,true,true,true,false,false
EXPD,Expeditors International,Industrials,Air Freight & Logistics,EXPD,NYSE,0.011589289420881556,エクスペディターズ・インターナショナル・オブ・ワシントン,true,true,true,true,true,true,false,false
EXPE,Expedia Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",EXPE,NASDAQ,0.09025858225590716,エクスペディア・グループ,true,true,true,true,true,true,false,false
EXR,Extra Space Storage,Real Estate,Self-Storage REITs,EXR,NYSE,0.026701767581797757,エクストラ・スペース・ストレージ,false,false,false,false,false,false,false,false
F,Ford Motor Company,Consumer Discretionary,Automobile Manufacturers,F,NYSE,0.051119791666666727,フォード・モーター,true,true,true,true,true,true,true,true
FANG,Diamondback Energy,Energy,Oil & Gas Exploration & Production,FANG,NASDAQ,-0.0685933503836317,ダイアモンドバック・エナジー,true,true,true,true,true,true,false,false
FAST,Fastenal,Industrials,Trading Companies & Distributors,FAST,NASDAQ,0.0393295354951797,ファスナル,true,true,true,true,true,true,false,false
FCX,Freeport-McMoRan,Materials,Copper,FCX,NYSE,0.07356813693219233,フリーポートマクモラン,true,true,true,true,true,true,true,true
FDS,FactSet,Financials,Financial Exchanges & Data,FDS,NYSE,-0.027284710017574727,ファクトセット・リサーチ・システムズ,true,true,true,true,true,true,false,false
FDX,FedEx,Industrials,Air Freight & Logistics,FDX,NYSE,0.041547619047619,フェデックス,true,true,true,true,true,true,true,false
